City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Victoria,HK,22.29,114.16,29.44,78,68,4.92,light rain
1,Hithadhoo,MV,-0.6,73.08,28.35,75,89,3.5,overcast clouds
2,Namibe,AO,-15.2,12.15,17.5,85,25,1.51,scattered clouds
3,Aripuana,BR,-9.17,-60.63,26.21,37,0,0.83,clear sky
4,Kapaa,US,22.08,-159.32,27.0,78,75,9.3,broken clouds
5,Punta Arenas,CL,-53.15,-70.92,3.0,86,20,5.7,few clouds
6,Torbay,CA,47.67,-52.73,16.11,100,90,1.0,fog
7,Chuy,UY,-33.7,-53.46,7.45,85,0,4.41,clear sky
8,Ulladulla,AU,-35.35,150.47,9.44,70,0,4.1,clear sky
9,Byron Bay,AU,-28.65,153.62,15.0,62,75,5.1,broken clouds
10,Umm Lajj,SA,25.02,37.27,29.85,74,45,1.95,scattered clouds
11,Hermanus,ZA,-34.42,19.23,6.67,94,0,2.34,clear sky
12,Kalabo,ZM,-14.97,22.68,14.17,41,0,2.94,clear sky
13,Busselton,AU,-33.65,115.33,10.0,89,22,3.12,few clouds
14,Atuona,PF,-9.8,-139.03,26.05,74,6,8.07,clear sky
15,Caravelas,BR,-17.71,-39.25,21.49,81,0,2.86,clear sky
16,Chumikan,RU,54.72,135.31,12.04,97,100,7.99,light rain
17,Lagos De Moreno,MX,21.35,-101.92,25.0,53,75,4.1,broken clouds
18,Katherine,AU,-14.47,132.27,11.0,50,0,2.6,clear sky
19,Bredasdorp,ZA,-34.53,20.04,8.0,93,0,0.5,clear sky
20,Butaritari,KI,3.07,172.79,27.92,75,62,2.76,light rain
21,Yeppoon,AU,-23.13,150.73,14.0,76,3,3.6,clear sky
22,Yellowknife,CA,62.46,-114.35,22.0,46,75,7.2,broken clouds
23,Alausi,EC,-2.2,-78.83,9.24,90,96,2.25,overcast clouds
24,Arlit,NE,18.74,7.39,36.24,15,28,2.24,scattered clouds
25,Cape Town,ZA,-33.93,18.42,11.11,93,0,1.5,mist
26,Joshimath,IN,30.57,79.57,19.33,60,85,0.47,overcast clouds
27,Ilulissat,GL,69.22,-51.1,9.0,61,40,2.1,scattered clouds
28,Port Hedland,AU,-20.32,118.57,12.0,33,1,3.1,clear sky
29,Rikitea,PF,-23.12,-134.97,22.75,86,98,6.23,light rain
30,Hambantota,LK,6.12,81.12,25.0,100,75,3.6,broken clouds
31,Malanje,AO,-9.54,16.34,17.26,30,0,1.15,clear sky
32,Kununurra,AU,-15.77,128.73,16.0,32,0,2.6,clear sky
33,Ushuaia,AR,-54.8,-68.3,2.0,64,20,1.5,few clouds
34,Dingli,MT,35.86,14.38,27.78,78,0,1.0,clear sky
35,Katsuura,JP,35.13,140.3,23.89,94,75,0.5,light rain
