City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Victoria,HK,29.44,light rain,22.29,114.16,Mini Hotel Central
1,Hithadhoo,MV,28.35,overcast clouds,-0.6,73.08,Scoop Guest House
4,Kapaa,US,27.0,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
10,Umm Lajj,SA,29.85,scattered clouds,25.02,37.27,Moon light Furnished Units
14,Atuona,PF,26.05,clear sky,-9.8,-139.03,Villa Enata
15,Caravelas,BR,21.49,clear sky,-17.71,-39.25,Pousada dos Navegantes
17,Lagos De Moreno,MX,25.0,broken clouds,21.35,-101.92,Hotel Galerias
20,Butaritari,KI,27.92,light rain,3.07,172.79,Isles Sunset Lodge
22,Yellowknife,CA,22.0,broken clouds,62.46,-114.35,The Explorer Hotel
24,Arlit,NE,36.24,scattered clouds,18.74,7.39,Hôtel Telwa Bungalow
29,Rikitea,PF,22.75,light rain,-23.12,-134.97,Pension Maro'i
30,Hambantota,LK,25.0,broken clouds,6.12,81.12,Bungalow 63
34,Dingli,MT,27.78,clear sky,35.86,14.38,The Xara Palace Relais & Chateaux
35,Katsuura,JP,23.89,light rain,35.13,140.3,Katsuura Hotel Mikazuki
38,Puerto Ayora,EC,20.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
44,Hilo,US,28.0,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
45,Tahoua,NE,33.04,few clouds,14.89,5.27,Bungalows Guesthouse
46,Malakal,SS,22.51,overcast clouds,9.53,31.66,Nile Palace Hotel
48,Vaini,TO,23.0,few clouds,-21.2,-175.2,Keleti Beach Resort
49,Bakel,SN,25.53,overcast clouds,14.9,-12.46,Hôtel islam
57,Norman Wells,CA,24.0,scattered clouds,65.28,-126.83,Heritage Hotel
59,Bambous Virieux,MU,22.0,shower rain,-20.34,57.76,Casa Tia Villa
63,Moose Factory,CA,22.0,broken clouds,51.26,-80.61,Cree Village Eco Lodge
67,Ribeira Grande,PT,21.55,broken clouds,38.52,-28.7,Quinta da Meia Eira
70,Jamestown,US,24.44,scattered clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
72,Touros,BR,24.0,clear sky,-5.2,-35.46,INN NEW HORIZON
76,Eyl,SO,26.49,clear sky,7.98,49.82,Amiin Hotel
77,Faanui,PF,26.3,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
82,Begusarai,IN,28.23,overcast clouds,25.42,86.13,HOTEL JAMES
84,Ambon,ID,26.11,moderate rain,-3.7,128.18,Swiss-Belhotel Ambon
85,Arrecife,ES,23.0,broken clouds,28.96,-13.55,Hotel Lancelot
92,Ponta Do Sol,PT,21.0,scattered clouds,32.67,-17.1,Hotel do Campo
94,Dauphin,CA,30.0,clear sky,51.15,-100.05,Canway Inn & Suites
95,Ajdabiya,LY,23.87,clear sky,30.76,20.23,فندق التوجان
98,San Rafael Del Sur,NI,33.0,few clouds,11.85,-86.44,Hospedaje El Chino
99,Kapit,MY,22.91,overcast clouds,2.02,112.93,Hotel Meligai Kapit
100,West Wendover,US,37.0,clear sky,40.74,-114.07,"Motel 6 Wendover, UT"
101,Casper,US,30.0,few clouds,42.87,-106.31,Ramkota Hotel
104,Shelby,US,31.11,broken clouds,35.2,-89.87,Days Inn by Wyndham Memphis - I40 and Sycamore View
105,Bud,US,21.67,overcast clouds,39.45,-86.18,Madsion Scouts Camp
107,Nicoya,CR,32.0,scattered clouds,10.15,-85.45,Guayacan Real
108,Bandarbeyla,SO,26.08,few clouds,9.49,50.81,REER XOOSHLE GROUP
109,Souillac,MU,22.0,shower rain,-20.52,57.52,Bils' Villa
112,Fort Nelson,CA,26.0,few clouds,58.81,-122.7,The Fort Nelson Hotel
114,Grand Gaube,MU,20.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
116,Kirkland Lake,CA,23.0,broken clouds,48.14,-80.04,Comfort Inn
121,Alofi,NU,24.0,scattered clouds,-19.06,-169.92,Taloa Heights
123,Fatehpur,IN,27.83,light rain,25.93,80.8,City Club
